Pixels,GIST,SIFT,HOG,SSIM,GIST*SIFT*HOG,GIST*SIFT*HOG*Pixels,GIST*SIFT*HOG*SSIM*Pixels,Obj presences,Obj counts,Obj areas,Obj spatial histograms,Marginalized obj counts,Marginalized obj areas,Marginalized obj spatial histograms,Scene categories,Obj spatial histograms and Scene categories,GIST+SIFT+HOG+SSIM+Pixels and Obj spatial histograms and Scene categories,Humans,Actual,Chance
74.612,83.2176,83.206,83.4671,84.6732,83.8161,82.7095,83.5661,84.0281,83.9785,83.7724,84.5943,66.9682,67.8257,72.6461,82.9003,85.8768,86.5022,87.3015,96.4682,68.3454
74.1068,81.9667,82.6721,83.0737,83.6641,83.6027,83.7109,83.3704,83.325,82.0863,84.109,84.4454,67.4724,67.5756,72.6177,81.5641,84.5251,86.1185,86.8547,95.0774,67.9504
72.6609,79.1102,79.4631,80.3323,80.1093,81.1191,80.8659,80.4446,79.7715,79.0059,81.9515,82.2001,68.3311,68.1393,72.6922,77.266,82.3336,83.0368,84.2866,90.4319,68.1133
70.5694,72.6981,73.0794,73.3984,73.4723,73.5794,73.6969,73.7063,73.3615,73.4197,73.853,73.8534,68.325,67.9535,70.3402,71.7469,74.1589,74.8413,77.4364,80.4954,67.7204
70.0465,71.0951,71.4834,71.6649,71.8131,71.6945,71.9046,72.0218,71.7591,72.0231,71.8284,71.7667,68.3234,67.907,69.7522,70.3671,72.1152,72.7924,75.7238,78.0113,67.6222
67.8081,67.5317,67.6829,67.5307,67.5202,67.6099,67.6567,67.6844,67.6366,67.7675,67.4613,67.467,67.4693,67.8709,67.5428,67.8862,67.5722,67.682,68.4451,68.6902,67.5715
64.6607,62.5263,62.14,61.8794,61.9124,61.6385,61.5348,61.4512,61.9726,61.8009,61.3757,61.4005,67.0503,67.2148,65.0545,63.428,61.0797,60.5007,57.5923,54.4838,67.6153
61.7801,58.4175,57.1455,57.5725,57.6192,56.2304,55.9463,56.0365,56.9651,56.9042,56.5268,56.2012,68.4142,65.0819,64.1338,57.4875,55.2803,53.7489,46.8993,39.6347,67.5683
61.019,56.5259,54.8098,54.4397,55.0813,54.1914,53.4741,53.3188,54.129,54.9044,53.0093,52.7359,68.3233,63.8167,63.8562,56.1642,51.6785,49.4457,39.6453,29.7387,67.8382
60.4416,55.6262,54.5596,52.7347,54.4601,53.0851,53.8066,53.3335,54.7696,53.4105,51.2011,51.2026,68.6704,63.4006,64.6508,56.3702,51.0677,48.0328,37.446,26.4881,67.9985
0.21415,0.38328,0.41588,0.4358,0.43272,0.45792,0.46199,0.46258,0.43099,0.43693,0.47749,0.47946,0.028042,0.037401,0.1867,0.36127,0.50346,0.54603,0.74746,1,0.0021544
